hashtag,CreationTimeofDay,MinRank,Duration2hsl
柑橘在西藏阿里地区开花结果,2021-10-13 16:04:00,22,1.5789811880555558
香港市民为遭受洪灾同胞录视频打气,2021-10-13 13:35:00,12,4.146445599166666
影院将实行一键隔座售票,2021-10-13 21:36:00,13,20.46683578805556
乌鲁木齐全市范围分批开展免费核酸检测,2021-10-13 17:31:00,15,0.6340365394444445
10省市200余人驰援新疆,2021-10-13 17:04:00,37,1.1684131108333333
乌鲁木齐进入疫情防控战时状态,2021-10-13 17:43:00,13,0.7710067144444444
上海中考成绩,2021-10-13 12:47:00,20,70469.87273554584
NBA奖项依据停赛前表现评出,2021-10-13 07:48:00,34,11.024472362777779
5岁娃设无人收银诚实商店,2021-10-13 21:08:00,6,21.94366685888889
SSAK3新歌,2021-10-13 18:01:00,35,1.0603335583333333
美国得州一监狱1072名囚犯感染新冠,2021-10-13 15:32:00,24,4.216628107222222
明日之子热血感,2021-10-13 20:58:00,27,-0.5406720491666667
RNG第一局优势被翻盘,2021-10-13 19:44:00,21,1.030501326388889
QG战胜AG,2021-10-13 21:34:00,43,0.6283058141666668
吴彤帮贾玲邀请刘德华,2021-10-13 21:55:00,1,9.314719344444445
美国11个州拒绝口罩令,2021-10-13 10:30:00,2,20.73138608888889
IMF预计美国经济二季度萎缩37%,2021-10-13 11:05:00,24,20.148052842777776
湖北抗洪一线的红色娘子军,2021-10-13 15:59:00,25,15.248052886388889
安徽全椒县滁河实施爆破泄洪,2021-10-13 22:00:00,7,9.315414305555555
CBA公司CEO王大为辞职,2021-10-13 01:24:00,7,5.999440242222223
金秀贤哭戏,2021-10-13 01:46:00,21,630.0637724544445
闫永强唢呐版咆哮,2021-10-13 01:46:00,35,6.063772584722222
宁静看张雨绮出神忘选手机,2021-10-13 16:09:00,3,40.26975565388889
童瑶演技,2021-10-13 20:21:00,4,996.4913218769444
范丞丞 希望自己是个快乐的大人,2021-10-13 18:43:00,16,38.210227118333336
抗洪战士听说身后有2万群众的反应,2021-10-13 20:33:00,10,156.79783926694444
北京6月11日以来治愈出院超200例,2021-10-13 08:48:00,14,0.6321342974999999
盖盖 舞动的水墨丹青,2021-10-13 09:50:00,33,0.18980258444444445
王漫妮被同事陷害,2021-10-13 19:52:00,5,446.24066382583334
欧阳娜娜清唱黑色柳丁,2021-10-13 10:53:00,16,-0.7760027980555555
当重听自己语音里的声音时,2021-10-13 21:35:00,18,12.523997279722222
何宜德,2021-10-13 22:48:00,7,11.307330690833332
山东新增1例科威特输入确诊病例,2021-10-13 08:09:00,6,2.0428331994444444
厦门六中合唱团版生如夏花,2021-10-13 09:18:00,19,0.8928333133333334
探望抗洪儿子妈妈笑着笑着就哭了,2021-10-13 09:15:00,19,1.0271689747222221
pann,2021-10-13 19:34:00,21,18807.30411468028
顾佳当妈的修行,2021-10-13 19:30:00,7,39.45584576444444
当代社畜的真实心声,2021-10-13 08:59:00,20,2473.972512621389
韩梦薇,2021-10-13 09:49:00,16,1.2233397955555556
张萌晒姐姐们送的礼物,2021-10-13 11:28:00,4,0.16888836000000002
中国游泳功勋教练徐国义病逝,2021-10-13 09:36:00,13,2.3900483283333336
辽宁支援新疆检验医疗队启程,2021-10-13 09:12:00,39,2.7900484830555556
教育局回应老师未收到送花发飙,2021-10-13 06:30:00,2,6.371483930555556
隐秘的角落 切片式混剪,2021-10-13 11:31:00,5,49.524108672222226
美主持人辟谣口罩藏5G天线且致癌,2021-10-13 09:02:00,10,4.2677758061111115
北京同时出现日晕和七彩云,2021-10-13 13:14:00,7,0.5735535702777778
抗洪战士偶遇小朋友秒变铁憨憨,2021-10-13 22:42:00,22,15.359658953888887
法老光光公益说唱,2021-10-13 12:11:00,36,2.4653844772222224
顾佳双商高,2021-10-13 14:53:00,7,-0.23461549333333334
美军另一艘两栖攻击舰着火,2021-10-13 13:38:00,30,1.015384565
甘肃检察机关书记员线上笔试中止,2021-10-13 12:00:00,15,2.901626526111111
8月有5场天象奇观,2021-10-13 14:26:00,23,0.5524812325
央视记者实地探访乌鲁木齐社区,2021-10-13 11:41:00,12,3.3024813038888885
张思源淘汰,2021-10-13 17:58:00,21,69.01914800055556
美疾控中心称纽约流行毒株与中国无关,2021-10-13 14:42:00,13,0.5382103897222222
匈奴单于庭龙城遗址已找到,2021-10-13 18:57:00,24,20.62457884888889
